"id","name","code","executive","employee","worker"
occupation_type_employee_144008,"GERENTE, COMERCIO MINORISTA/ TIENDAS",144008,True,True,False,
occupation_type_employee_144009,"GERENTE, COMERCIO MINORISTA/ TIENDAS (AUTOSERVICIO)",144009,True,True,False,
occupation_type_employee_144010,"GERENTE, COMERCIO MINORISTA/ TIENDAS (VENTAS CON DESCUENTOS",144010,True,True,False,
occupation_type_employee_144011,"GERENTE, COMERCIO MINORISTA/ TIENDAS (VENTAS POR CORREO)",144011,True,True,False,
occupation_type_employee_144012,"GERENTE REPARACION DE VEHICULOS, AUTO MOTORES, MOTOCICLETAS",144012,True,True,False,
occupation_type_employee_144013,"GERENTE, TIENDA",144013,True,True,False,
occupation_type_employee_145005,"GERENTE, COMERCIO NEP",145005,True,True,False,
occupation_type_employee_146001,"GERENTE, ALBERGUE/ JOVENES",146001,True,True,False,
occupation_type_employee_146002,"GERENTE, BAR/DISCOTECA Y SNACK BAR",146002,True,True,False,
occupation_type_employee_146003,"GERENTE, CAFE-TEATRO",146003,True,True,False,
occupation_type_employee_146004,"GERENTE, CAFETERIA",146004,True,True,False,
occupation_type_employee_146005,"GERENTE, CAMPAMENTO/ VACACIONES",146005,True,True,False,
occupation_type_employee_146006,"GERENTE, CANTINA/ EMPRESA",146006,True,True,False,
occupation_type_employee_146007,"GERENTE, CASA DE HUESPEDES",146007,True,True,False,
occupation_type_employee_146008,"GERENTE, FONDA",146008,True,True,False,
occupation_type_employee_146009,"GERENTE, HOSTELERIA",146009,True,True,False,
occupation_type_employee_146010,"GERENTE, HOTEL",146010,True,True,False,
occupation_type_employee_146011,"GERENTE, MOTEL",146011,True,True,False,
occupation_type_employee_146012,"GERENTE, PARQUE DE CARAVANAS",146012,True,True,False,
occupation_type_employee_146013,"GERENTE, PENSION",146013,True,True,False,
occupation_type_employee_146014,"GERENTE, PEÑA",146014,True,True,False,
occupation_type_employee_146015,"GERENTE, RESTAURANTE",146015,True,True,False,
occupation_type_employee_146016,"GERENTE, RESTAURANTE-BAR",146016,True,True,False,
occupation_type_employee_146017,"GERENTE, RESTAURANTE/ AUTOSERVICIO",146017,True,True,False,
occupation_type_employee_146018,"GERENTE, SNACK-BAR",146018,True,True,False,
occupation_type_employee_146019,"GERENTE, TABERNA",146019,True,True,False,
occupation_type_employee_147001,"GERENTE, ALMACENAMIENTO",147001,True,True,False,
